Area,Focus Area,Outcome Code 1,Outcome 1 Description,Outcome Code 2,Outcome 2 Description,Content groups,Content points,Stage
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Use counting sequences of ones with two-digit numbers and beyond," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Continue and create number patterns," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Continue and create number patterns," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Represent numbers on a line," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Represent numbers on a line," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Represent the structure of groups of ten in whole numbers," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Represent the structure of groups of ten in whole numbers," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Represent the structure of groups of ten in whole numbers," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Represent the structure of groups of ten in whole numbers," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Represent the structure of groups of ten in whole numbers," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Represent the structure of groups of ten in whole numbers," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Use counting sequences of ones and tens flexibly," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Use counting sequences of ones and tens flexibly," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Use counting sequences of ones and tens flexibly," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers","Form, regroup, and rename three-digit numbers"," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers","Form, regroup, and rename three-digit numbers"," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers","Form, regroup, and rename three-digit numbers"," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers","Form, regroup, and rename three-digit numbers"," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers","Form, regroup, and rename three-digit numbers"," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers","Form, regroup, and rename three-digit numbers"," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Representing whole numbers B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers","Form, regroup, and rename three-digit numbers"," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Use advanced count-by-one strategies to solve addition and subtraction problems
","apply the terms add, plus, equals, is equal to, is the same as, take away, minus and the difference between to describe combining and separating quantities",Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Use advanced count-by-one strategies to solve addition and subtraction problems
","recognise and use the symbols for plus (+), minus () and equals (=)",Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Use advanced count-by-one strategies to solve addition and subtraction problems
","record number sentences in a variety of ways using drawings, words, numerals and symbols",Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Use advanced count-by-one strategies to solve addition and subtraction problems
",fluently use advanced count-by-one strategies including counting on and counting back to solve addition and subtraction problems involving one- and two-digit numbers (Reasons about relations),Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Recognise and recall number bonds up to ten
","recognise, recall and record combinations of two numbers that add up or bond to form 10",Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Recognise and recall number bonds up to ten
",model and record patterns for individual numbers up to ten by making all possible whole-number combinations (Reasons about patterns),Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Recognise and recall number bonds up to ten
","create, recall and recognise combinations of two numbers that add up to numbers less than 10",Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Recognise and recall number bonds up to ten
","describe combinations for numbers using words such as more than, less than and double (Reasons about relations)",Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Use flexible strategies to solve addition and subtraction problems
",use non-count-by-one strategies such as using doubles for near doubles and combining numbers that add to ten,Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Use flexible strategies to solve addition and subtraction problems
",represent addition and subtraction using structured materials such as a bead string or similar model,Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,"Use flexible strategies to solve addition and subtraction problems
",select and apply strategies using number bonds to solve addition and subtraction problems with one- and two-digit numbers by partitioning numbers using quantity value and bridging to 10 (Reasons about relations),Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Represent equality,"use the equals sign to record equivalent number sentences involving addition, and to mean 'is the same as', rather than as an indication to perform an operation (Reasons about relations)",Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Represent equality,model the commutative property for addition and apply it to aid the recall of addition facts (Reasons about relations),Stage 1
Number & Algebra,"Combining and separating quantities A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Represent equality,recall related addition and subtraction facts for numbers to at least 10 (Reasons about relations),Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Represent and reason about additive relations,"create, record and recognise combinations of two numbers that add to numbers from 11 up to and including 20",Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Represent and reason about additive relations,"create, model and solve word problems, using number sentences",Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Represent and reason about additive relations,represent the difference between two numbers using concrete materials and diagrams,Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Represent and reason about additive relations,represent a constant difference between pairs of numbers,Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Represent and reason about additive relations,"model how addition and subtraction are inverse operations using concrete materials, drawings and diagrams",Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Represent and reason about additive relations,recall and use related addition and subtraction number facts to at least 20,Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Form multiples of ten when adding and subtracting two-digit numbers,add two-digit numbers by building to multiples of ten,Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Form multiples of ten when adding and subtracting two-digit numbers,add and subtract from a two-digit number and record on an empty number line,Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Form multiples of ten when adding and subtracting two-digit numbers,use quantity values to separate tens and ones for addition (only),Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Form multiples of ten when adding and subtracting two-digit numbers,use an inverse strategy to turn a subtraction into an addition (Reasons about relations),Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Use knowledge of equality to solve related problems,use number bonds to determine a missing number,Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Use knowledge of equality to solve related problems,use number knowledge to solve related problems (Reasons about relations),Stage 1
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Use knowledge of equality to solve related problems,use a variety of ways of writing number sentences,Stage 1
